['10/27/2014', '9:17:11 AM', '1.045796E-1', '1.000280E+0', '1.045492E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.149084', '25.215311', '24.140957', '25.112291', '27.007132', '29.899059', '29.420752', '30.085855']
['10/27/2014', '9:17:12 AM', '1.045796E-1', '1.000280E+0', '1.045492E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.149084', '25.215311', '24.140957', '25.112291', '27.007132', '29.899059', '29.420752', '30.085855']
['10/27/2014', '9:17:13 AM', '1.045765E-1', '1.000284E+0', '1.045599E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.141531', '25.299742', '24.115007', '25.016436', '26.892876', '29.799524', '29.339611', '30.001869']
['10/27/2014', '9:17:14 AM', '1.045765E-1', '1.000284E+0', '1.045599E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.141531', '25.299742', '24.115007', '25.016436', '26.892876', '29.799524', '29.339611', '30.001869']
['10/27/2014', '9:17:15 AM', '1.045902E-1', '1.000285E+0', '1.045706E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.152397', '25.251740', '24.089081', '25.042019', '26.969973', '29.942846', '29.427744', '29.986998']
['10/27/2014', '9:17:16 AM', '1.045902E-1', '1.000285E+0', '1.045706E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.152397', '25.251740', '24.089081', '25.042019', '26.969973', '29.942846', '29.427744', '29.986998']
['10/27/2014', '9:17:17 AM', '1.046015E-1', '1.000283E+0', '1.045893E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.159565', '25.211077', '24.088890', '25.023432', '26.932987', '30.150885', '29.670387', '30.289331']
['10/27/2014', '9:17:18 AM', '1.046015E-1', '1.000283E+0', '1.045893E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.159565', '25.211077', '24.088890', '25.023432', '26.932987', '30.150885', '29.670387', '30.289331']
['10/27/2014', '9:17:19 AM', '1.046239E-1', '1.000283E+0', '1.045946E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.148357', '25.350719', '24.085039', '25.019583', '26.826118', '29.832104', '29.357475', '29.795311']
['10/27/2014', '9:17:20 AM', '1.046260E-1', '1.000282E+0', '1.046015E-1', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '0.000000E+0', '25.140999', '25.372795', '24.132872', '25.107883', '26.866590', '29.931444', '29.581913', '30.179861']
